資料日期,基金代號,單位淨值,發行單位數,總淨值
"1130701",="00948B","10.039","977,427,000","9,812,390,031"
"1130701",="00942B","15.64","625,459,000","9,782,323,453"
"1130701",="00937B","15.924","11,025,305,000","175,564,226,790"
"1130701",="00933B","16.884","3,404,458,000","57,480,430,802"
"1130701",="00931B","15.063","1,779,898,000","26,809,763,733"
"1130701",="00890B","34.733","23,264,000","808,031,028"
"1130701",="00887","10.08","45,851,000","462,192,048"
"1130701",="00886","34.11","7,951,000","271,182,963"
"1130701",="00884B","31.367","69,940,000","2,193,823,478"
"1130701",="00883B","32.672","9,758,000","318,813,946"
"1130701",="00870B","30.392","524,651,000","15,945,251,722"
"1130701",="00867B","33.62","594,650,000","19,991,888,093"
"1130701",="00864B","45.951","123,222,000","5,662,221,506"
"1130701",="00863B","34.261","468,464,000","16,049,788,328"
"1130701",="00862B","33.382","528,381,000","17,638,446,907"
"1130701",="00860B","38.915","4,671,000","181,771,366"
"1130701",="00859B","42.427","4,511,000","191,389,840"
"1130701",="00858","33.03","25,374,000","838,026,475"
"1130701",="00857B","26.022","682,768,000","17,766,880,403"
"1130701",="00856B","38.855","8,292,000","322,187,849"
"1130701",="00853B","29.521","64,634,000","1,908,082,406"
"1130701",="00849B","37.597","526,106,000","19,780,148,676"
"1130701",="00848B","35.885","206,066,000","7,394,696,842"
"1130701",="00847B","28.222","11,305,000","319,047,088"
"1130701",="00846B","36.02","74,350,000","2,678,054,093"
"1130701",="00845B","33.609","201,551,000","6,773,896,344"
"1130701",="00844B","33.618","213,675,000","7,183,381,428"
"1130701",="00842B","33.73","9,767,000","329,464,952"
"1130701",="00841B","32.051","80,940,000","2,594,168,105"
"1130701",="00840B","32.258","59,431,000","1,917,120,829"
"1130701",="00836B","31.162","406,541,000","12,668,785,416"
"1130701",="00834B","35.45","20,198,000","716,027,530"
"1130701",="00831B","41.179","100,000","4,117,879"
"1130701",="00799B","33.261","9,036,000","300,549,199"
"1130701",="00795B","30.64","1,387,598,000","42,516,512,784"
"1130701",="00794B","41.396","42,187,000","1,746,351,056"
"1130701",="00793B","33.129","4,526,000","149,942,089"
"1130701",="00792B","34.081","1,668,115,000","56,851,108,244"
"1130701",="00791B","56.659","253,600,000","14,368,775,370"
"1130701",="00790B","55.836","2,100,000","117,254,602"
"1130701",="00789B","52.959","278,100,000","14,727,973,913"
"1130701",="00788B","32.134","35,206,000","1,131,313,076"
"1130701",="00787B","34.717","16,306,000","566,090,234"
"1130701",="00786B","34.404","37,566,000","1,292,429,580"
"1130701",="00785B","36.384","975,966,000","35,509,958,272"
"1130701",="00784B","38.964","2,993,000","116,619,416"
"1130701",="00782B","33.219","21,967,000","729,727,006"
"1130701",="00781B","32.843","5,336,000","175,250,720"
"1130701",="00780B","37.719","238,102,000","8,981,054,858"
"1130701",="00779B","31.613","879,150,000","27,792,715,470"
"1130701",="00778B","36.726","1,408,150,000","51,716,221,380"
"1130701",="00777B","35.385","1,679,150,000","59,416,785,695"
"1130701",="00773B","37.383","2,334,790,000","87,280,408,705"
"1130701",="00772B","35.978","3,764,290,000","135,431,622,280"
"1130701",="00768B","56.031","303,600,000","17,011,009,643"
"1130701",="00764B","31.436","1,049,000,000","32,976,675,650"
"1130701",="00761B","37.214","2,577,089,000","95,903,318,759"
"1130701",="00760B","55.41","437,020,000","24,213,375,476"
"1130701",="00759B","57.76","48,025,000","2,773,849,727"
"1130701",="00758B","53.71","5,525,000","296,738,979"
"1130701",="00756B","33.352","1,318,800,000","43,984,079,993"
"1130701",="00755B","34.75","179,230,000","6,228,281,701"
"1130701",="00754B","36.879","1,003,900,000","37,022,932,470"
"1130701",="00751B","34.6","4,640,103,000","160,546,008,128"
"1130701",="00750B","35.9","126,000,000","4,523,429,934"
"1130701",="00749B","32.601","952,000,000","31,035,993,689"
"1130701",="00746B","37.38","2,430,464,000","90,850,742,794"
"1130701",="00741B","39.111","11,628,000","454,778,176"
"1130701",="00740B","41.13","1,271,471,000","52,295,054,754"
"1130701",="00734B","15.99","33,979,000","543,491,245"
"1130701",="00727B","40.429","95,689,000","3,868,650,054"
"1130701",="00726B","34.731","1,190,489,000","41,346,582,679"
"1130701",="00725B","38.12","2,686,206,000","102,396,863,038"
"1130701",="00724B","35.382","2,749,775,000","97,292,930,296"
"1130701",="00723B","34.485","1,584,583,000","54,644,042,156"
"1130701",="00722B","39.286","1,325,239,000","52,063,154,946"
"1130701",="00721B","47.375","4,622,000","218,966,165"
"1130701",="00720B","35.782","4,100,609,000","146,725,744,621"
"1130701",="00719B","31.983","396,014,000","12,665,523,865"
"1130701",="00697B","36.141","33,712,000","1,218,373,220"
"1130701",="00696B","32.402","1,115,181,000","36,133,723,920"
"1130701",="00695B","35.828","34,686,000","1,242,733,006"
"1130701",="00694B","41.706","194,076,000","8,094,085,489"
"1130701",="00687B","31.33","5,233,287,000","163,958,748,927"
"1130701",="00679B","30.069","7,564,692,000","227,465,083,227"
"1130628",="00928","18.37","24,856,000","456,486,883"
"1130628",="00888","17.35","450,478,000","7,816,860,289"
"1130628",="00877","11.34","279,288,000","3,167,847,196"
"1130628",="00718B","20.897","483,501,000","10,103,649,021"
"1130628",="006201","23.49","14,446,000","339,282,783"
"1130628",="00948B","10","955,427,000","9,554,264,350"
"1130628",="00942B","15.577","599,959,000","9,345,814,109"
"1130628",="00937B","15.85","10,883,805,000","172,510,716,453"
"1130628",="00933B","16.816","3,389,458,000","56,998,235,534"
"1130628",="00931B","15.021","1,785,398,000","26,818,261,256"
"1130628",="00890B","34.621","23,264,000","805,414,084"
"1130628",="00887","10.25","45,851,000","469,875,759"
"1130628",="00886","33.93","7,951,000","269,754,553"
"1130628",="00884B","31.301","69,940,000","2,189,204,228"
"1130628",="00883B","32.545","9,758,000","317,569,959"
"1130628",="00870B","30.384","524,651,000","15,940,942,653"
"1130628",="00867B","33.522","564,650,000","18,928,422,466"
"1130628",="00864B","45.912","123,222,000","5,657,417,351"
"1130628",="00863B","34.116","468,464,000","15,981,862,717"
"1130628",="00862B","33.238","528,381,000","17,562,202,812"
"1130628",="00860B","38.854","4,671,000","181,487,490"
"1130628",="00859B","42.403","4,511,000","191,278,691"
"1130628",="00858","33.02","25,374,000","837,958,167"
"1130628",="00857B","25.936","682,768,000","17,708,437,338"
"1130628",="00856B","38.849","8,292,000","322,137,983"
"1130628",="00853B","29.44","64,634,000","1,902,833,986"
"1130628",="00849B","37.562","526,106,000","19,761,452,460"
"1130628",="00848B","35.856","206,066,000","7,388,718,212"
"1130628",="00847B","28.139","11,305,000","318,108,935"
"1130628",="00846B","35.947","74,350,000","2,672,660,053"
"1130628",="00845B","33.571","201,551,000","6,766,326,265"
"1130628",="00844B","33.496","213,675,000","7,157,180,528"
